attr_name	tumor_breast_1	tumor_breast_2	tumor_breast_3	tumor_breast_4	tumor_breast_5	tumor_breast_6	normal_breast_1	normal_breast_2	normal_breast_3	normal_breast_4	normal_breast_5	normal_breast_6
207469_s_at	3.25609233007706	3.57483400483886	3.4516027060697	2.78277676453973	3.27564707493312	3.5575419625672	4.07750703954788	5.5943667967984	3.99930464413339	4.29913542315872	4.45134714535928	4.36533638227179
207541_s_at	7.69317144790016	7.79283222587821	7.91684532838766	7.27026169982909	8.53993852616509	7.87886118385599	9.80738700110638	9.03920748310736	8.96974999720596	8.58492925319841	8.28040577343924	8.44861950283211
207542_s_at	4.85854484496266	3.75101820537732	5.50157035056069	4.48286420926564	5.06486905043792	5.3024820987944	5.01039946217715	5.28053580757434	6.64478999434829	6.58393443045573	6.44112686150426	6.71990791320652
207547_s_at	5.43056060141625	6.92746132182861	5.85106435888288	5.96319501652736	5.54950481402583	5.10730196059285	7.07248053155978	7.84794866598285	6.62833921779649	6.98312727824842	8.46738550152018	7.78461660073878
207761_s_at	9.00447401497189	9.59908642356684	8.23745510954656	9.64649041382618	9.3995046659139	8.978542902353	9.98251672422336	10.4905391669916	9.5864592096909	10.8069820577494	10.110526062392	10.0437091148204
207808_s_at	8.10080544177925	8.61354093681499	6.42221618584704	6.97805286591636	8.14926075569613	7.15313505023109	9.15596892937619	9.53917582772106	8.45807726272793	8.91817793516328	8.22056246092558	8.55944300046983
207857_at	6.5142150789762	5.34359883748535	5.92186318138458	6.25654101641163	5.89467576373799	6.0776718682916	5.09154095636005	5.27931777097615	4.97280860299577	4.78897336412923	4.80071060828321	5.03493986077475
207943_x_at	6.83427124810636	7.38942112819956	6.82034568117192	6.19414389282493	7.51216950576199	7.1598878075375	9.0740760675796	7.29354728862535	8.67933687853793	7.64292825175111	8.39310720094457	8.8535544923537
208002_s_at	6.32084886181624	6.43944845611276	5.86197715880251	6.82795559440904	6.265870439113	6.79202066871447	4.60730676192149	4.77826076981657	5.38713248308124	5.10484014243985	5.51002785703947	5.69203941252286
208015_at	5.46719980966389	4.87849460500081	5.81224061836297	5.33485409480037	6.08509419595599	5.70351572615212	7.47486795754467	7.29033777243894	6.74422519290143	7.71078165519228	6.8522245344222	6.4118475189173
208070_s_at	7.92206856249434	8.02350340603436	6.93019666255394	6.30669254539441	8.22040806984648	7.42018784517751	8.81124266943366	8.38749588582474	8.4429629740374	8.99493824629573	8.28398974195419	8.45599731571576
